https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=78,"Éperlan arc-en-ciel, population du sud de l’estuaire du Saint-Laurent",Osmerus mordax,Poissons,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/78.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=18,Fouille-roche gris,Percina copelandi,Poissons,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/18.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=80,Méné d’herbe,Notropis bifrenatus,Poissons,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/80.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=2,Rainette faux-grillon de l’Ouest,Pseudacris triseriata,Amphibiens,vulnérable,septembre 2001,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/2.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=24,Salamandre pourpre,Gyrinophilus porphyriticus,Amphibiens,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/24.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=71,Tortue des bois,Glyptemys insculpta,Tortues,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/71.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=72,Tortue géographique,Graptemys geographica,Tortues,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/72.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=27,Aigle royal,Aquila chrysaetos,Oiseaux,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/27.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=28,Arlequin plongeur,Histrionicus histrionicus,Oiseaux,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/28.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=35,Faucon pèlerin anatum,Falco peregrinus anatum,Oiseaux,vulnérable,septembre 2003,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/35.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=83,Garrot d’Islande,Bucephala islandica,Oiseaux,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/83.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=84,Grive de Bicknell,Catharus bicknelli,Oiseaux,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/84.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=38,Petit blongios,Ixobrychus exilis,Oiseaux,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/38.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=40,Pygargue à tête blanche,Haliaeetus leucocephalus,Oiseaux,vulnérable,septembre 2003,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/40.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=53,"Caribou des bois, écotype forestier",Rangifer tarandus,Mammifères,vulnérable,mars 2005,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/53.jpg
https://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=87,Ours blanc,Ursus maritimus,Mammifères,vulnérable,octobre 2009,https://www3.mffp.gouv.qc.ca/faune/especes/menacees/photo_especes/nondispo.jpg
